ID,Nombre,Texto,Velocidad
35,bbs5_es-line4-line5-line6-line7,"I started reading instead. There was a small 'library' at the hospital, although it was more like a storeroom for books. I began working my way through it, one small stack at a time. After consuming them, I would go back for more.",1
36,bbs5_es-line8-line9,I found that I liked reading and I think I even became a bit addicted. I started feeling naked without a book in my hands.,1
37,bbs5_es-line10,But I loved the stories.,1
38,bbs6_es-line1,That was what my life was like.,1
39,bbs6_es-line2-line3-line4-line5,"The days became increasingly harder to distinguish from each other, differing only by the book I was reading and the weather outside. It felt like time blurred into some kind of gooey mass I was trapped inside, instead of moving within.",1
40,bbs6_es-line6,A week could go by without me really noticing it.,1
41,bbs6_es-line7-line8,"Sometimes, I'd pause in realization that I didn't know what day of the week it was.",1
42,bbs6_1_es-line1-line2-line3,"But other times, all the things that surrounded me would painfully crash into my consciousness, through the barrier of nonchalance I had set up for myself.",1
43,bbs6_1_es-line4-line5-line6-line7,"The pages of my book would start to feel sharp and burning hot and the heaviness in my chest would become so hard to bear that I had to put the book aside and just lay down for a while, looking at the ceiling as if I was going to cry.",1
44,bbs6_1_es-line8,But that happened only rarely.,1
45,bbs6_1_es-line9,And I couldn't even cry.,1
46_bbsQuit,,,
47,,"Today, the doctor comes in and gives me a smile. He seems excited, but not very. It's like he is trying to make an effort to be happy on my behalf.",1
48,,My parents are here. It's been a few days since I've last seen them. Both of them are even sort of dressed up. Is this supposed to be some kind of special occasion? It's not a party.,1
49,,"There is this ritual the head cardiologist has. He takes his time, sorting his papers, then setting them aside as if to make a point of the pointlessness of what he just did.",1
50,,Then he casually sits down on the edge of the bed next to mine. He looks me in the eyes for a moment.,1
51,Doctor,"""Hello, Hisao. How are you today?""",1
52,,"I don't answer him but I smile a little, back at him.",1
53,Doctor,"""I believe that you can go home; your heart is stronger now, and with some precautions, you should be fine.""",1
54,Doctor,"""We have all your medication sorted out. I'll give your father the prescription.""",1
55,,"The doctor hands a sheet of paper to my dad, whose expression turns wooden as he reads it quickly.",1
56,Dad,"""So many…""",1
57,,"I take it from his hand and take a look myself, feeling numb. How am I supposed to react to this?",1
58_sliderText,,,
59_wait,,,
60,,The absurdly long list of medications staring back at me from the paper seems insurmountable. They all blend together in a sea of letters.,1
61,,This is insane.,1
62,,"Side effects, adverse effects, contraindications and dosages are listed line after line with cold precision.",1
63,,"I try to read them, but it's so futile.",1
64,,I can't understand any of it. Attempting to only makes me feel sicker.,1
65,,"All this… for the rest of my life, every day?",1
66_bbIn,,,1
67_sTQuit,,,
68_bbOut,,,
69,Doctor,"""I'm afraid that is the best we can do at this point.""",1
70,Doctor,"""However, new medications are always being developed, so I wouldn't be surprised to see that list fade over the years.""",1
71,,Years… What kind of confidence booster is that? I'd have felt better if he hadn't said anything at all…,1
72,Doctor,"""Also, I've spoken with your parents and we believe that it would be best if you don't return to your old school.""",1
73,,What!?,1
74,Dad,"""Please, calm down, Hisao. Listen to what the doctor has to say…""",1
75,,Calm down? The way he says it tells me he knew full well that I wouldn't like it. Am I going to be home schooled?,1
76,,"Whatever of my concern shows, it's ignored.",1
77,Doctor,"""We all understand that your education is paramount; however, I don't think that it's wise for you to be without supervision.""",1
78,Doctor,"""At least not until we're sure that your medication is suitable.""",1
79,Doctor,"""So, I've spoken to your parents about a transfer.""",1
80,Doctor,"""It's a school called Yamaku Academy that specializes in dealing with disabled students.""",1
81,,Disabled? What? Am I…,1
82,Doctor,"""It has a 24-hour nursing staff and it's only a few minutes from a highly regarded general hospital. The majority of students live on the campus.""",1
83,Doctor,"""Think of it as a boarding school of sorts. It's designed to give students a degree of independence, while keeping help nearby.""",1
84,,Independence? It's a school for disabled kids. Don't try to disguise that fact.,1
85,,"If it was really that 'free,' there wouldn't be a 24-hour nursing staff, and you wouldn't make a hospital being nearby a selling point.",1
86,Dad,"""Of course, that's only if you want to go. But… your mother and I aren't really able to home school you.""",1
87,Dad,"""We went out there and had a look a couple of weeks back; I think you'd like it.""",1
88,,It looks like I really don't have a choice.,1
89,Doctor,"""Compared to other heart problems, people with your condition usually tend to live long lives. You'll need a job one day and this is a good opportunity to continue your education.""",1
90,,"This isn't an opportunity, don't call it an opportunity. Don't call it a goddamned opportunity.",1
91,Doctor,"""Well, you should be excited at the chance to go back to school. I remember you wanted to return to school, and while it's not the same one…""",1
92,,A special school. That's…,1
93,,An insult. That is what I want to say. It's a step down.,1
94,Dad,"""It's not what you think. All of the students there are pretty active, in their own sort of way.""",1
95,Dad,"""It's geared towards students that can still get around and learn, but just need a little help… in one way or another.""",1
96,Doctor,"""Your father's right. And many of the graduates of the school have gone on to do amazing things. A person doesn't have to be held back by their disability.""",1
97,Doctor,"""One of my colleagues in another hospital is a graduate.""",1
98,,I don't care. A person doesn't have to be held back by their disability? That's what a disability is.,1
99,,I really hate that something so important was decided for me. But what can I do about it? A 'normal' life is out of the question now.,1
100,,"It's funny, I had always thought my life was actually kind of boring, but now I miss it.",1
101,,"I want to protest. I want to blame this lack of reaction on shock, or fatigue. I could easily yell out something now - something about how I can go back to school anyway. But, no.",1
102,,I don't say anything. The fact is that I know now it's futile.,1
103,,"I look around the room, feeling very tired of all this. The hospital, doctors, my condition, everything. I don't see anything that would make me feel any different.",1
104,,"There really isn't a choice. I know this, but the thought of going to a disabled school… what are those even like? As much as I try to put a positive spin on this, it's very difficult.",1
105,,But let me try.,1
106,,A clean slate isn't a bad thing.,1
107,,"That is all I can think of to get me through this. At least I still have something; even if it's a 'special school,' it's something. It's a fresh start, and my life isn't over. It would be a mistake to just resign myself to thinking that.",1
108,,"At the very least, I'll try to see what my new life will look like.",1
109_wbIn,,,
110_cambio,,,
