Id,TipoNodo,Acto,Escena,SiguienteID,Variable,Valor,SiguienteID_Si_Verdadero,SiguienteID_Si_Falso,Musica,Musica_Accion,Musica_AccionTiempo,FondoPrincipal,FondoPrincipal_Tamano,FondoPrincipal_Accion,FondoPrincipal_AccionTiempo,FondoPrincipal_Coordenadas,FondoSecundario,FondoSecundario_Tamano,FondoSecundario_Coordenadas,Sprite1,Sprite1_Accion,Sprite1_Switch,Sprite1_Coordenadas,Sprite1_Tiempo,Sprite1Cara,Sprite1Cara_Accion,Sprite1Cara_Switch,Sprite1Cara_Coordenadas,Sprite1Cara_Tiempo,Sprite2,Sprite2_Accion,Sprite2_Switch,Sprite2_Coordenadas,Sprite2_Tiempo,Sprite2Cara,Sprite2Cara_Accion,Sprite2Cara_Switch,Sprite2Cara_Coordenadas,Sprite2Cara_Tiempo,Sprite3,Sprite3_Accion,Sprite3_Switch,Sprite3_Coordenadas,Sprite3_Tiempo,Sprite3Cara,Sprite3Cara_Accion,Sprite3Cara_Switch,Sprite3Cara_Coordenadas,Sprite3Cara_Tiempo,Visto
18,,,,19_wbIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19_wbIn,evento,,,20_fpCambio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20_fpCambio,evento,,,21_wbOut,,,,,,,,events/intro-iwanako.jpg,481x240,punch,0,0 0 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21_wbOut,evento,,,22,,,,,,,,,,zoomOut-630-314-481-240,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,,,,27_wbIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27_wbIn,evento,,,28_fpCambio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28_fpCambio,evento,,,29_wbOut,,,,,,,,bgs/snowywoods.jpg,481x240,punch,0,0 0 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29_wbOut,evento,,,30_hAttk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30_hAttk,evento,,,31_hAttk,,,,,,out,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31_hAttk,evento,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,,,,33_wbIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33_wbIn,evento,,,34_fpCambio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34_fpCambio,evento,,,35_wbOut,,,,,,,,events/intro-iwanako.jpg,481x240,punch,0,0 0 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35_wbOut,evento,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,,,,42_wbIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42_wbIn,evento,,,43_fpCambio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43_fpCambio,evento,,,44_wbOut,,,,,,,,bgs/snowywoods.jpg,481x240,punch,0,0 0 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44_wbOut,evento,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,,,,47_hAttk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47_hAttk,evento,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,,,,49_hAttk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49_hAttk,evento,,,50_hAttkF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50_hAttkF,evento,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,,,,55,,,,,bgm/Cold_Iron,in,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,,,,57_hAttkF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
57_hAttkF,evento,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58,,,,59_hAttkF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59_hAttkF,evento,,,60_hAttk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60_hAttk,evento,,,61_hAttkF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
61_hAttkF,evento,,,62_hStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
62_hStop,evento,,,63,,,,,,out,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
63,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
64,,,,65_flashback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65_flashback,evento,,,66_bbInL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66_bbInL,evento,,,67_bigboxsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67_bigboxsay,evento,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,70_finalizamos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70_finalizamos,evento,,,71_cambioEscena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71_cambioEscena,escena-doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
